rel_number;matrix;Technique;Mitigation;Efficiency
1029;Enterprise;Command and Scripting Interpreter;Antivirus/Antimalware;5
1030;Enterprise;PowerShell Profile;Code Signing;5
1031;Enterprise;System Firmware;Privileged Account Management;6
1032;Enterprise;Application Shimming;Update Software;8
1033;Enterprise;Cached Domain Credentials;Operating System Configuration;7
1034;Enterprise;Adversary-in-the-Middle;Network Intrusion Prevention;8
1035;Enterprise;Password Cracking;Multi-factor Authentication;8
1036;Enterprise;Modify Cloud Compute Infrastructure;User Account Management;8
1037;Enterprise;Firmware;Pre-compromise;5
1038;Enterprise;Adversary-in-the-Middle;Encrypt Sensitive Information;5
1039;Enterprise;Private Keys;Audit;6
1040;Enterprise;Additional Cloud Credentials;Network Segmentation;8
1041;Enterprise;ROMMONkit;Boot Integrity;6
1042;Enterprise;Bootkit;Privileged Account Management;6
1043;Enterprise;Hybrid Identity;Multi-factor Authentication;8
1044;Enterprise;Additional Cloud Roles;Privileged Account Management;6
1045;Enterprise;Hardware Additions;Limit Access to Resource Over Network;6
1046;Enterprise;LSASS Driver;Restrict Library Loading;6
1047;Enterprise;Clear Mailbox Data;Restrict File and Directory Permissions;6
1048;Enterprise;Purchase Technical Data;Pre-compromise;5
1049;Enterprise;Exfiltration Over Symmetric Encrypted Non-C2 Protocol;Network Segmentation;8
1050;Enterprise;Pass the Ticket;Active Directory Configuration;5
1051;Enterprise;Develop Capabilities;Pre-compromise;5
1052;Enterprise;Domain Account;Multi-factor Authentication;8
1053;Enterprise;Malicious File;Execution Prevention;6
1054;Enterprise;Steganography;Network Intrusion Prevention;8
1055;Enterprise;Command and Scripting Interpreter;Disable or Remove Feature or Program;6
1056;Enterprise;DNS;Filter Network Traffic;7
1057;Enterprise;Modify Authentication Process;Privileged Account Management;6
1058;Enterprise;Exploit Public-Facing Application;Update Software;8
1059;Enterprise;Network Device Configuration Dump;Filter Network Traffic;7
1060;Enterprise;Data Manipulation;Network Segmentation;8
1061;Enterprise;Service Stop;Network Segmentation;8
1062;Enterprise;Stored Data Manipulation;Restrict File and Directory Permissions;6
1063;Enterprise;Exfiltration to Cloud Storage;Restrict Web-Based Content;5
1064;Enterprise;OS Credential Dumping;Operating System Configuration;7
1065;Enterprise;Unsecured Credentials;Encrypt Sensitive Information;5
1066;Enterprise;Spearphishing Link;Software Configuration;8
1067;Enterprise;Web Portal Capture;Privileged Account Management;6
1068;Enterprise;Trusted Relationship;User Account Management;8
1069;Enterprise;Browser Extensions;Audit;6
1070;Enterprise;Exfiltration Over Unencrypted Non-C2 Protocol;Data Loss Prevention;5
1071;Enterprise;Malware;Pre-compromise;5
1072;Enterprise;Mark-of-the-Web Bypass;Execution Prevention;6
1073;Enterprise;Browser Extensions;Limit Software Installation;5
1074;Enterprise;Proc Memory;Behavior Prevention on Endpoint;5
1075;Enterprise;Modify System Image;Multi-factor Authentication;8
1076;Enterprise;Rename System Utilities;Restrict File and Directory Permissions;6
1077;Enterprise;ListPlanting;Behavior Prevention on Endpoint;5
1078;Enterprise;Sharepoint;User Account Management;8
1079;Enterprise;Thread Execution Hijacking;Behavior Prevention on Endpoint;5
1080;Enterprise;SEO Poisoning;Pre-compromise;5
1081;Enterprise;Control Panel;Execution Prevention;6
1082;Enterprise;Brute Force;Password Policies;7
1083;Enterprise;Create Snapshot;Audit;6
1084;Enterprise;Make and Impersonate Token;Privileged Account Management;6
1085;Enterprise;Local Email Collection;Encrypt Sensitive Information;5
1086;Enterprise;Forge Web Credentials;User Account Management;8
1087;Enterprise;Disable or Modify Tools;Restrict File and Directory Permissions;6
1088;Enterprise;JavaScript;Execution Prevention;6
1089;Enterprise;Command and Scripting Interpreter;Behavior Prevention on Endpoint;5
1090;Enterprise;Steal or Forge Kerberos Tickets;Active Directory Configuration;5
1091;Enterprise;Impair Command History Logging;Environment Variable Permissions;5
1092;Enterprise;Masquerade File Type;Antivirus/Antimalware;5
1093;Enterprise;Protocol Tunneling;Network Intrusion Prevention;8
1094;Enterprise;Install Digital Certificate;Pre-compromise;5
1095;Enterprise;Browser Extensions;Update Software;8
1096;Enterprise;Container Administration Command;Execution Prevention;6
1097;Enterprise;Scheduled Task;Privileged Account Management;6
1098;Enterprise;Network Address Translation Traversal;Credential Access Protection;5
1099;Enterprise;CDNs;Pre-compromise;5
1100;Enterprise;Exfiltration Over Bluetooth;Disable or Remove Feature or Program;6
1101;Enterprise;Cached Domain Credentials;Active Directory Configuration;5
1102;Enterprise;Disable or Modify Cloud Firewall;User Account Management;8
1103;Enterprise;Data from Configuration Repository;Software Configuration;8
1104;Enterprise;Print Processors;User Account Management;8
1105;Enterprise;Virtual Private Server;Pre-compromise;5
1106;Enterprise;Private Keys;Encrypt Sensitive Information;5
1107;Enterprise;Digital Certificates;Pre-compromise;5
1108;Enterprise;Domain Account;Operating System Configuration;7
1109;Enterprise;Modify Authentication Process;User Account Management;8
1110;Enterprise;SSH Authorized Keys;Disable or Remove Feature or Program;6
1111;Enterprise;PowerShell Profile;Software Configuration;8
1112;Enterprise;Additional Cloud Credentials;User Account Management;8
1113;Enterprise;NTDS;Encrypt Sensitive Information;5
1114;Enterprise;ROMMONkit;Audit;6
1115;Enterprise;Malware;Pre-compromise;5
1116;Enterprise;Password Managers;Software Configuration;8
1117;Enterprise;User Execution;Restrict Web-Based Content;5
1118;Enterprise;Linux and Mac File and Directory Permissions Modification;Restrict File and Directory Permissions;6
1119;Enterprise;Downgrade System Image;Credential Access Protection;5
1120;Enterprise;Data from Information Repositories;User Account Management;8
1121;Enterprise;Remote Email Collection;Multi-factor Authentication;8
1122;Enterprise;Network Address Translation Traversal;Multi-factor Authentication;8
1123;Enterprise;/etc/passwd and /etc/shadow;Privileged Account Management;6
1124;Enterprise;Systemd Service;Privileged Account Management;6
1125;Enterprise;Cached Domain Credentials;Privileged Account Management;6
1126;Enterprise;Phishing;Antivirus/Antimalware;5
1127;Enterprise;Email Collection;Multi-factor Authentication;8
1128;Enterprise;Additional Cloud Credentials;Privileged Account Management;6
1129;Enterprise;Endpoint Denial of Service;Filter Network Traffic;7
1130;Enterprise;Exploitation for Client Execution;Exploit Protection;6
1131;Enterprise;Steal Web Session Cookie;Multi-factor Authentication;8
1132;Enterprise;Downgrade System Image;Boot Integrity;6
1133;Enterprise;Distributed Component Object Model;Disable or Remove Feature or Program;6
1134;Enterprise;Token Impersonation/Theft;Privileged Account Management;6
1135;Enterprise;Security Account Manager;Privileged Account Management;6
1136;Enterprise;System Services;User Account Management;8
1137;Enterprise;Steal Application Access Token;Audit;6
1138;Enterprise;DCSync;Active Directory Configuration;5
1139;Enterprise;DHCP Spoofing;Filter Network Traffic;7
1140;Enterprise;Visual Basic;Antivirus/Antimalware;5
1141;Enterprise;Scan Databases;Pre-compromise;5
1142;Enterprise;Cloud Service Dashboard;User Account Management;8
1143;Enterprise;InstallUtil;Disable or Remove Feature or Program;6
1144;Enterprise;Credentials;Pre-compromise;5
1145;Enterprise;Traffic Signaling;Disable or Remove Feature or Program;6
1146;Enterprise;Password Guessing;Account Use Policies;5
1147;Enterprise;Domain Fronting;SSL/TLS Inspection;8
1148;Enterprise;Indicator Blocking;User Account Management;8
1149;Enterprise;OS Credential Dumping;Behavior Prevention on Endpoint;5
1150;Enterprise;IP Addresses;Pre-compromise;5
1151;Enterprise;Code Signing Policy Modification;Boot Integrity;6
1152;Enterprise;Network Sniffing;Multi-factor Authentication;8
1153;Enterprise;Defacement;Data Backup;6
1154;Enterprise;Digital Certificates;Pre-compromise;5
1155;Enterprise;Unsecured Credentials;Update Software;8
1156;Enterprise;Disable Windows Event Logging;User Account Management;8
1157;Enterprise;Phishing;Restrict Web-Based Content;5
1158;Enterprise;LSASS Memory;Privileged Account Management;6
1159;Enterprise;Silver Ticket;Encrypt Sensitive Information;5
1160;Enterprise;Drive-by Compromise;Restrict Web-Based Content;5
1161;Enterprise;GUI Input Capture;User Training;8
1162;Enterprise;Network Service Discovery;Network Segmentation;8
1163;Enterprise;Office Test;Software Configuration;8
1164;Enterprise;Process Injection;Privileged Account Management;6
1165;Enterprise;Server;Pre-compromise;5
1166;Enterprise;File Transfer Protocols;Network Intrusion Prevention;8
1167;Enterprise;Internal Defacement;Data Backup;6
1168;Enterprise;Bootkit;Boot Integrity;6
1169;Enterprise;OS Credential Dumping;Active Directory Configuration;5
1170;Enterprise;Code Repositories;Audit;6
1171;Enterprise;Network Share Discovery;Operating System Configuration;7
1172;Enterprise;Path Interception by Search Order Hijacking;Restrict File and Directory Permissions;6
1173;Enterprise;VDSO Hijacking;Behavior Prevention on Endpoint;5
1174;Enterprise;Clear Windows Event Logs;Remote Data Storage;6
1175;Enterprise;Hijack Execution Flow;Behavior Prevention on Endpoint;5
1176;Enterprise;Access Token Manipulation;Privileged Account Management;6
1177;Enterprise;Escape to Host;Application Isolation and Sandboxing;5
1178;Enterprise;Modify Authentication Process;Restrict Registry Permissions;5
1179;Enterprise;Token Impersonation/Theft;User Account Management;8
1180;Enterprise;Office Application Startup;Disable or Remove Feature or Program;6
1181;Enterprise;Masquerading;Antivirus/Antimalware;5
1182;Enterprise;Cached Domain Credentials;User Training;8
1183;Enterprise;CMSTP;Disable or Remove Feature or Program;6
1184;Enterprise;Email Accounts;Pre-compromise;5
1185;Enterprise;Windows Remote Management;Privileged Account Management;6
1186;Enterprise;Kerberoasting;Encrypt Sensitive Information;5
1187;Enterprise;Server;Pre-compromise;5
1188;Enterprise;Cron;User Account Management;8
1189;Enterprise;Remote Access Software;Filter Network Traffic;7
1190;Enterprise;Additional Cloud Credentials;Multi-factor Authentication;8
1191;Enterprise;Disable or Modify Tools;Execution Prevention;6
1192;Enterprise;Hijack Execution Flow;Restrict Registry Permissions;5
1193;Enterprise;Kernel Modules and Extensions;Privileged Account Management;6
1194;Enterprise;Pluggable Authentication Modules;Multi-factor Authentication;8
1195;Enterprise;Exploitation of Remote Services;Application Isolation and Sandboxing;5
1196;Enterprise;MMC;Execution Prevention;6
1197;Enterprise;ARP Cache Poisoning;Network Intrusion Prevention;8
1198;Enterprise;Socket Filters;Filter Network Traffic;7
1199;Enterprise;RDP Hijacking;Network Segmentation;8
1200;Enterprise;Digital Certificates;Pre-compromise;5
1201;ATLAS;Search for Victim's Publicly Available Research Materials;Limit Release of Public Information;7
1202;ATLAS;Search Victim-Owned Websites;Limit Release of Public Information;7
1203;ATLAS;Datasets;Limit Model Artifact Release;7
1204;ATLAS;Models;Limit Model Artifact Release;7
1205;ATLAS;Publish Poisoned Datasets;Verify ML Artifacts;5
1206;ATLAS;ML Supply Chain Compromise;Verify ML Artifacts;5
1207;ATLAS;ML Software;Use Ensemble Methods;5
1208;ATLAS;ML Software;Code Signing;5
1209;ATLAS;Data;Control Access to ML Models and Data at Rest;8
1210;ATLAS;Data;Sanitize Training Data;6
1211;ATLAS;Model;Control Access to ML Models and Data at Rest;8
1212;ATLAS;Model;Use Ensemble Methods;5
1213;ATLAS;Model;Validate ML Model;5
1214;ATLAS;Model;Code Signing;5
1215;ATLAS;Model;Model Distribution Methods;6
1216;ATLAS;Physical Environment Access;Use Multi-Modal Sensors;6
1217;ATLAS;Full ML Model Access;Model Distribution Methods;6
1218;ATLAS;Discover ML Model Ontology;Passive ML Output Obfuscation;6
1219;ATLAS;Discover ML Model Ontology;Restrict Number of ML Model Queries;8
1220;ATLAS;Discover ML Model Family;Passive ML Output Obfuscation;6
1221;ATLAS;Discover ML Model Family;Restrict Number of ML Model Queries;8
1222;ATLAS;Discover ML Model Family;Use Ensemble Methods;5
1223;ATLAS;Poison Training Data;Limit Model Artifact Release;7
1224;ATLAS;Poison Training Data;Control Access to ML Models and Data at Rest;8
1225;ATLAS;Poison Training Data;Sanitize Training Data;6
1226;ATLAS;Discover ML Artifacts;Encrypt Sensitive Information;5
1227;ATLAS;User Execution;User Training;8
1228;ATLAS;Unsafe ML Artifacts;Restrict Library Loading;6
1229;ATLAS;Unsafe ML Artifacts;Code Signing;5
1230;ATLAS;Unsafe ML Artifacts;Verify ML Artifacts;5
1231;ATLAS;Unsafe ML Artifacts;Vulnerability Scanning;8
1232;ATLAS;Unsafe ML Artifacts;User Training;8
1233;ATLAS;Evade ML Model;Model Hardening;8
1234;ATLAS;Evade ML Model;Use Ensemble Methods;5
1235;ATLAS;Evade ML Model;Use Multi-Modal Sensors;6
1236;ATLAS;Evade ML Model;Input Restoration;5
1237;ATLAS;Evade ML Model;Adversarial Input Detection;7
1238;ATLAS;Poison ML Model;Control Access to ML Models and Data at Rest;8
1239;ATLAS;Poison ML Model;Sanitize Training Data;6
1240;ATLAS;Poison ML Model;Validate ML Model;5
1241;ATLAS;Inject Payload;Control Access to ML Models and Data at Rest;8
1242;ATLAS;Inject Payload;Validate ML Model;5
1243;ATLAS;Exfiltration via ML Inference API;Restrict Number of ML Model Queries;8
1244;ATLAS;Infer Training Data Membership;Passive ML Output Obfuscation;6
1245;ATLAS;Infer Training Data Membership;Restrict Number of ML Model Queries;8
1246;ATLAS;Invert ML Model;Passive ML Output Obfuscation;6
1247;ATLAS;Invert ML Model;Restrict Number of ML Model Queries;8
1248;ATLAS;Extract ML Model;Passive ML Output Obfuscation;6
1249;ATLAS;Extract ML Model;Restrict Number of ML Model Queries;8
1250;ATLAS;Exfiltration via Cyber Means;Control Access to ML Models and Data at Rest;8
1251;ATLAS;Denial of ML Service;Restrict Number of ML Model Queries;8
1252;ATLAS;Denial of ML Service;Adversarial Input Detection;7
1253;ATLAS;Spamming ML System with Chaff Data;Restrict Number of ML Model Queries;8
1254;ATLAS;Erode ML Model Integrity;Model Hardening;8
1255;ATLAS;Erode ML Model Integrity;Use Ensemble Methods;5
1256;ATLAS;Erode ML Model Integrity;Input Restoration;5
1257;ATLAS;Erode ML Model Integrity;Adversarial Input Detection;7
1258;ATLAS;Cost Harvesting;Restrict Number of ML Model Queries;8
1259;ATLAS;ML Artifact Collection;Encrypt Sensitive Information;5
1260;ATLAS;White-Box Optimization;Model Distribution Methods;6
1261;ATLAS;Black-Box Optimization;Passive ML Output Obfuscation;6
1262;ATLAS;Black-Box Optimization;Restrict Number of ML Model Queries;8
1263;ATLAS;Black-Box Optimization;Input Restoration;5
1264;ATLAS;Black-Box Optimization;Adversarial Input Detection;7
1265;ATLAS;ML Intellectual Property Theft;Control Access to ML Models and Data at Rest;8
1266;ATLAS;ML Intellectual Property Theft;Encrypt Sensitive Information;5
